Id	CAS	SMILES	STATUS	EXP Class
1		CC1CCC1	Training	-161.51
2		O=C(N)C(c1ncccc1)(c2ccccc2)CCN(C(C)C)C(C)C	Training	94.8
3		O=C(O)C1=CN(c2c(F)c(c(F)cc2(C1(=O)))N3CCNC(C)C3)CC	Training	239.75
4		N(C)(C)C	Training	-117.0
5		C(Cl)(Cl)(Cl)Cl	Training	-23.0
6		C#C	Training	-80.8
7		CC(Cl)Cl	Training	-97.0
8		O=[N+]([O-])C(C)(CO)CO	Training	150.0
9		c1cc(Cl)sc1	Training	-72.0
10		O=C(OCCC)CC	Training	-76.0
11		O=C(OC(=C)C)C	Training	-93.0
12		O=COCCC	Training	-93.0
13		O=[N+]([O-])c1cc(c(c(c1)[N+](=O)[O-])C)[N+](=O)[O-]	Training	80.0
14		c1cc(cc(c1)CC)CC	Training	-84.0
15		O=C(C)CCC=C(C)C	Training	-67.0
16		CCC(C)(C)C(C)C	Training	-101.0
17		CCCC(C)(C)CC	Training	-126.0
18		CCCCC(C)(C)C	Training	-121.0
19		C=C(C)C(C)(C)C	Training	-110.0
20		CCC(CC)C(C)C	Training	-115.0
21		CCCCSCC	Training	-95.0
22		c1cc(c(cc1CC)C)C	Training	-67.0
23		CCC(C)(CC)CC	Training	-91.0
24		CC(C)CC(C)C(C)C	Training	-128.0
25		CC(C)CCCC(C)C	Training	-103.0
26		C1(=C(C)CCCC1)(C)	Training	-84.0
27		CCCC1CCCCC1	Training	-95.0
28		C(=C(Cl)Cl)(C(Cl)(Cl)Cl)Cl	Training	-73.0
29		c1c(cc(cc1CC)CC)C	Training	-74.0
30		C=C(C)CC(C)C	Training	-124.0
31		C(=C(C)CCC)(C)C	Training	-115.0
32		CC(C)C(C)(C)C(C)C	Training	-102.0
33		C1=C(CC)CCCC1	Training	-110.0
34		C1CC1CCl	Training	-91.0
35		CCC1CCCC1(C)	Training	-105.9
36		CC(C)C1CC1	Training	-113.0
37		C(#CCC(C)C)C	Training	-93.0
38		CCC1CCC1	Training	-143.0
39		C(=CCCC)C	Training	-141.0
40		O=C(OCCOC)C	Training	-65.0
41		n1cccc(c1)CC	Training	-77.0
42		C1CCSC1	Training	-96.0
43		C(Cl)Br	Training	-88.0
44		O1CC1C	Training	-112.0
45		C=CC(=C)C	Training	-146.0
46		O=C(OC(C)CC)C	Training	-99.0
47		O=C(OCC)CCCCCC	Training	-66.0
48		N#CCCC	Training	-112.0
49		CCSCC	Training	-104.0
50		CCSC	Training	-106.0
51		C#CCCCC	Training	-132.0
52		C(#CCCCC)CC	Training	-104.0
53		n1cc(ccc1C)CC	Training	-71.0
54		c1ccc(c(c1)CC)Br	Training	-68.0
55		Fc1ccc(cc1)Cn3c(nc2ccccc23)NC5CCN(CCc4ccc(OC)cc4)CC5	Training	149.0
56		O=C(O)CCC(=O)c1ccc(cc1)c2ccccc2	Training	186.0
57		c1ccc(cc1)CC	Training	-95.0
58		CCCCCl	Training	-123.0
59		C1=CCCC1	Training	-135.0
60		c1ccc(cc1)CCCC	Training	-88.0
61		OCCOC	Training	-85.0
62		O=C1C=C(C)CC(C)(C)C1	Training	-8.0
63		C(CBr)Br	Training	10.0
64		C=CCCCCCCCCCCCCCC	Training	4.0
65		CCCCCCCCCCCCCCC	Training	9.9
66		O=C(OC(C)C)C=CC(=O)OC(C)C	Training	2.0
67		n1ccccc1CC	Training	-63.0
68		C(CCl)CBr	Training	-59.0
69		O=C(OC)C(Cl)Cl	Training	-52.0
70		c1ccc(cc1)C(c2ccccc2)C	Training	-18.0
71		c1cc(c(cc1C)C)CC	Training	-63.0
72		CCC(CC)(CC)CC	Training	-33.0
73		C=Cc1ccccc1Cl	Training	-63.0
74		CCCCCCCCCS	Training	-20.0
75		CCCCCCCCC(C)C	Training	-49.0
76		O=S(=O)(Cl)Cl	Training	-54.0
77		n1cccc(c1)CN	Training	-21.0
78		O=C(OC)CCl	Training	-32.0
79		O=C(OCCc1ccccc1)C	Training	-31.0
80		c1cc(cc(c1)C(C)C)C(C)C	Training	-63.0
81		n1cccc(c1)C	Training	-18.0
82		CCCCCCCCCCCCCCCC	Training	18.0
83		O=C(OC)CC(=O)OC	Training	-62.0
84		c1ccc2cc(ccc2(c1))CC	Training	-7.35
85		CC1CC1	Training	-177.16
86		O=[N+]([O-])c1cccc(c1)S(=O)(=O)Cl	Training	61.0
87		c1cc(ccc1CC)CC	Training	-43.0
88		FC(F)(C)Cl	Training	-131.0
89		O=C=S	Training	-139.0
90		C1=CCC(C)C1	Training	-161.0
91		CCC1(C)(CCCC1)	Training	-144.0
92		CCC1CC1	Training	-149.0
93		CCC1(C)(CC1)	Training	-130.0
94		CC1CC1(C)(C)	Training	-138.0
95		[O-][N+]2=C(c1ccccc1)c3cc(ccc3(N=C(NC)C2))Cl	Training	236.0
96		CCS	Training	-148.0
97		C=CC	Training	-185.0
98		c2(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c(c(c(c(c2Cl)Cl)Cl)Cl)Cl	Training	306.0
99		O=C1N(C)CCN1C	Training	8.0
100		CCCCCCCCCCCCCCCCCCBr	Training	28.0
101		c1cc(cc(c1)I)C	Training	-27.0
102		O=CN1CCCCC1	Training	-31.0
103		c1cc(c(c(c1)C)CC)C	Training	-16.0
104		c1cc(c(c(c1)C)I)C	Training	11.0
105		CCC(C)(C)C(C)(C)C	Training	-10.0
106		FC(F)CO	Training	-28.0
107		O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]	Training	14.0
108		Nc1cc(cc(c1)C)C	Training	10.0
109		Fc1c(F)c(F)c(c(F)c1(F))C	Training	-30.0
110		c1ccc(c(c1)C)C	Training	-25.0
111		C=C(c1ccccc1)C	Training	-23.0
112		c1ccc(c(c1)CC)CC	Training	-31.0
113		CCCCCCCCCCCCCCCCCC	Training	28.0
114		O1CCOCC1	Training	11.8
115		O=C(O)C(F)(F)F	Training	-15.0
116		N#CCc1ccccc1	Training	-24.0
117		c1cc(c(cc1C)Cl)Cl	Training	-15.0
118		c1cc(cc(c1)Cl)Cl	Training	-24.8
119		OCc1ccccc1	Training	-15.0
120		c1ccc2c(c1)C=CC2	Training	-2.0
121		FC(F)(F)c1cccc(O)c1	Training	-2.0
122		O=C(N(C)C)N(C)C	Training	-1.0
123		CC(C(C)(Br)Br)Br	Training	2.0
124		c1ccc(cc1)c2ccccc2C	Training	0.0
125		Oc1ccccc1C(C)(C)C	Training	-7.0
126		OCCc1ncccc1	Training	-8.0
127		O=C(OC)CCCCCCCCCCC	Training	5.0
128		c1cc(c(c(c1C)C)C)C	Training	-6.0
129		C(CCI)CI	Training	6.0
130		O=C(c1ccc(cc1)C)CC	Training	7.0
131		n1c(cccc1C(C)(C)C)C(C)(C)C	Training	2.0
132		OCC#CC	Training	-2.2
133		O1CCNCC1	Training	-5.0
134		Nc1ccc(cc1)CC	Training	-5.0
135		NCC	Training	-81.0
136		O=C(OCC)C(C)C	Training	-88.0
137		O=C(OCCC(C)C)CCC	Training	-73.0
138		O=C(OCC(C)C)C	Training	-99.0
139		O(B(OCC)OCC)CC	Training	-85.0
140		Fc1ccc(cc1)c2ccccc2	Training	74.0
